"51382","Стали известны лауреаты Шнобелевской премии","1726252651","stali-izvestnyi-laureatyi","null","Её вручают в 34-й раз.","null","0","0","0.5"
"51381","Несмотря на засуху, грибники несут из леса полные корзины","1726252539","nesmotrya-na-zasuhu-gribniki","null","А ещё в Ленобласти появилась клюква.","null","0","0","0.5"
"51380","Опубликован тизер шоу про юного Декстера","1726252424","opublikovan-tizer-shou-pro-yunogo","null","Премьера — зимой.","null","0","0","0.5"
"51383","Худеющий кот Крошик хотел сбежать из реабилитационного центра","1726252327","hudeyuschij-kot-kroshik-hotel","null","Но застрял.","null","0","0","0.5"
"51379","Август 2024 года стал самым жарким в истории наблюдений","1726234002","avgust-2024-goda-stal-samyim","null","Синоптики предсказывают новые температурные рекорды.","null","0","0","0.5"
"51378","На Парашютной снова пасутся чёрные свиньи","1726231956","na-parashyutnoj-snova-pasutsya","null","Сначала их приняли за кабанов.","null","0","0","0.5"
"51377","«Аэрофлот» запускает рейсы между Петербургом и Бангкоком","1726228609","aeroflot-zapuskaet-rejsyi-mezhdu","null","А ещё из Пулкова станут чаще летать в Тунис.","null","0","0","0.5"
"51376","Над Подмосковьем и Ленобластью наблюдали северное сияние","1726228476","nad-podmoskovem-i-lenoblastyu","null","В выходные есть шанс на повторение небесного шоу.","null","0","0","0.5"
"51375","В Петербурге объявили оранжевый уровень опасности из-за жары","1726221371","v-peterburge-obyavili-oranzhevyij-uroven-opasnosti-iz-za-zhary","null","В Ленобласти ситуация не лучше.","null","0","0","0.5"
"51372","В Новгороде нашли берестяную грамоту с пожеланием удавиться","1726154834","v-novgorode-nashli-berestyanuyu","null","Сообщению около 900 лет.","null","0","0","0.5"
"51371","Музей-усадьба художника Ильи Репина закрывается на реставрацию","1726153285","muzej-usadba-hudozhnika-ili","null","Работы продлятся почти два года.","null","0","0","0.5"
"51368","У станции «Рыбацкое» построят перехватывающую парковку","1726151610","u-metro-ryibatskoe-postroyat","null","Идёт поиск исполнителя.","null","0","0","0.5"
"51367","Майкл Б. Джордан снимет свою версию «Аферы Томаса Крауна»","1726149187","majkl-b-dzhordan-snimet-svoyu","null","И исполнит в ней главную роль.","null","0","0","0.5"
"51364","Обновленную экспозицию петербургского Центра культурного наследия представят в октябре","1726146548","obnovlennuyu-ekspozitsiyu","null","Также в музейно-просветительском пространстве появился аудиогид.","null","0","0","0.5"
"51361","В Петербурге показали, какими должны быть козырьки для внутренних дворов","1726146442","v-peterburge-pokazali-kakimi","null","В разработке образцов участвовал КГИОП.","null","0","0","0.5"
"51362","Сладкий вкус справедливости: рецензия на фильм «Револьвер»","1726145106","retsenziya-na-film-revolver","null","Кинопрокатная компания «Про:Взгляд» регулярно приносит на российские экраны жемчужины кинематографа со всего мира. В этот раз прокатчик удивляет отборным южнокорейским кино с мрачной атмосферой и медитативным развитием сюжета. Кроме того, в главных ролях наверняка знакомые российскому зрителю лица — лауреатка Каннского кинофестиваля Чон До Ён, Чи Чхан Ук из «Большего зла» и Ли Джон Джэ из «Игры в кальмара». Какой получилась криминальная драма, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.","null","0","0","0.5"
"51358","В России могут организовать посадку на поезд по биометрии","1726143593","v-rossii-mogut-organizovat","null","Не придётся показывать документы или билет.","null","0","0","0.5"
"51359","Авиарейсы из Петербурга в Дубай станут ежедневными","1726143506","aviarejsyi-iz-peterburga-v-dubaj","null","Время полёта — семь часов.","null","0","0","0.5"
"51357","Первая декада сентября выдалась в Петербурге аномально солнечной","1726138683","pervaya-dekada-sentyabrya-vyidalas","null","Вторая будет не хуже.","null","0","0","0.5"
"51354","Вышла аудиоверсия книги «Канашибари. Пока не погаснет последний фонарь. Том II»","1726135751","vyishla-audioversiya-knigi","null","Герои снова проверяют себя на прочность в мрачных испытаниях.","null","0","0","0.5"
"51355","В Выборге законсервируют средневековый собор","1726135514","v-vyiborge-zakonserviruyut-srednevekovyj-sobor","null","Его руины станут частью общественного пространства.","null","0","0","0.5"
"51352","Эрмитаж отменят плату за вход на три дня","1726065748","besplatnyj-vhod-v-ermitazh-po-vecheram","null","Но только по вечерам.","null","0","0","0.5"
"51351","Вышел трейлер байопика о Дональде Трампе","1726065543","trejler-bajopika-o-donalde-trampe","null","В ленте расскажут о молодости будущего президента США.","null","0","0","0.5"
"51318","Новая культура зовёт: гид по кинофестивалю Beat Weekend 2024","1726063997","gid-po-kinofestivalyu-beat-weekend-2024","null","С 12 по 22 сентября в 27 городах России пройдёт фестиваль документального кино о новой культуре Beat Weekend. Вот уже несколько лет создатели фестиваля собирают региональную спецпрограмму, куда входят лучшие показы московского Beat Film Festival. Этот год не стал исключением, и авторам есть чем удивить поклонников документального кино. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.","null","0","0","0.5"
